"Country or Area","Year","Value"
"Australia","2014","10787.3501376183"
"Australia","2013","10034.1276237187"
"Australia","2012","9353.06641223694"
"Australia","2011","8837.85058079271"
"Australia","2010","8166.06724391971"
"Australia","2009","7468.94410564859"
"Australia","2008","6832.22674546237"
"Australia","2007","6143.73477685129"
"Australia","2006","5456.5206707597"
"Australia","2005","5002.48272189515"
"Australia","2004","4266.92125360524"
"Australia","2003","3578.35150974547"
"Australia","2002","2926.73045682085"
"Australia","2001","2305.92896404507"
"Australia","2000","1613.2007121981"
"Australia","1999","1374.29310959569"
"Australia","1998","998.289579795631"
"Australia","1997","705.228318135053"
"Australia","1996","414.17063782292"
"Australia","1995","1004.03211082861"
"Australia","1994","1027.34354927313"
"Australia","1993","1829.872"
"Australia","1992","1333.184"
"Australia","1991","1424.68352"
"Australia","1990","1424.68352"
"Austria","2014","1642.80076513062"
"Austria","2013","1602.59643684061"
"Austria","2012","1612.4661425449"
"Austria","2011","1535.80074738863"
"Austria","2010","1483.19074249073"
"Austria","2009","1308.20218572207"
"Austria","2008","1248.53225138254"
"Austria","2007","1195.8903761885"
"Austria","2006","1152.466320532"
"Austria","2005","1145.80966192964"
"Austria","2004","1158.34359221291"
"Austria","2003","1072.19181375814"
"Austria","2002","968.776915917423"
"Austria","2001","863.101238986877"
"Austria","2000","713.626554045867"
"Austria","1999","701.821024024025"
"Austria","1998","610.339231556323"
"Austria","1997","500.828386694405"
"Austria","1996","420.786112924158"
"Austria","1995","357.931519787086"
"Austria","1994","261.105590625578"
"Austria","1993","235.26478656483"
"Austria","1992","5.63648639172312"
"Austria","1991","3.88944"
"Austria","1990","2.43756"
"Belgium","2014","2811.79733017371"
"Belgium","2013","2703.01240606807"
"Belgium","2012","2733.36088134647"
"Belgium","2011","2614.05044241905"
"Belgium","2010","2508.71471399671"
"Belgium","2009","2391.45687121243"
"Belgium","2008","2206.76147265269"
"Belgium","2007","2079.10324412977"
"Belgium","2006","1876.64217584791"
"Belgium","2005","1745.35050510923"
"Belgium","2004","1693.40032492042"
"Belgium","2003","1608.86827845198"
"Belgium","2002","1438.41916621289"
"Belgium","2001","1211.52843588766"
"Belgium","2000","1127.79920477565"
"Belgium","1999","935.582415403112"
"Belgium","1998","881.223470503045"
"Belgium","1997","726.994087301747"
"Belgium","1996","602.197276576914"
"Belgium","1995","501.991333560121"
"Belgium","1994","495.789565242139"
"Belgium","1993","484.299975812368"
"Belgium","1992","484.299975812368"
"Bulgaria","2014","1423.81285948304"
"Bulgaria","2013","1277.85761926218"
"Bulgaria","2012","1109.35923014509"
"Bulgaria","2011","1038.93300468063"
"Bulgaria","2010","927.068108171378"
"Bulgaria","2009","897.324880013531"
"Bulgaria","2008","841.835316770012"
"Bulgaria","2007","545.197085531365"
"Bulgaria","2006","447.162429026166"
"Bulgaria","2005","298.763523386316"
"Bulgaria","2004","180.343809534901"
"Bulgaria","2003","126.503550018592"
"Bulgaria","2002","96.60038738008"
"Bulgaria","2001","75.173696005058"
"Bulgaria","2000","57.3333083815516"
"Bulgaria","1999","40.9869783633625"
"Bulgaria","1998","28.7207624704373"
"Bulgaria","1997","18.3595783062778"
"Bulgaria","1996","11.5548883843048"
"Bulgaria","1995","6.58680842977408"
"Bulgaria","1994","2.15623391311342"
"Bulgaria","1993","0.02303703221005"
"Bulgaria","1992","0.010681702317"
"Bulgaria","1991","0.003135561"
"Canada","2014","9024.46042768536"
"Canada","2013","8564.62124615997"
"Canada","2012","8277.68017933566"
"Canada","2011","7991.64027238382"
"Canada","2010","7477.16505279579"
"Canada","2009","6698.9587209381"
"Canada","2008","6123.51593465702"
"Canada","2007","6222.86895974681"
"Canada","2006","5828.26843309005"
"Canada","2005","5677.87853198177"
"Canada","2004","5215.22602334514"
"Canada","2003","4615.42427946863"
"Canada","2002","4270.18947175995"
"Canada","2001","3787.72934805573"
"Canada","2000","3400.32843106704"
"Canada","1999","2805.99692329725"
"Canada","1998","2172.32499194863"
"Canada","1997","1568.52633809529"
"Canada","1996","1165.50735923192"
"Canada","1995","693.369077173043"
"Canada","1992","829.836"
"Canada","1991","1056.72"
"Canada","1990","970.584"
"Croatia","2014","582.7729385"
"Croatia","2013","577.71128114"
"Croatia","2012","564.960584"
"Croatia","2011","563.133823"
"Croatia","2010","543.951452"
"Croatia","2009","495.6468735"
"Croatia","2008","490.3328081"
"Croatia","2007","469.5146916"
"Croatia","2006","422.6992587"
"Croatia","2005","386.117676"
"Croatia","2004","347.888372"
"Croatia","2003","304.770123"
"Croatia","2002","261.9265545"
"Croatia","2001","224.96256"
"Croatia","2000","199.209344"
"Croatia","1999","166.6979895"
"Croatia","1998","139.060601"
"Croatia","1997","106.138843"
"Croatia","1996","80.066539"
"Croatia","1995","57.279335"
"Cyprus","2014","320.54079856597"
"Cyprus","2013","324.70366592627"
"Cyprus","2012","315.74235594302"
"Cyprus","2011","274.70430521584"
"Cyprus","2010","246.34422076147"
"Cyprus","2009","221.84035616137"
"Cyprus","2008","195.30984187324"
"Cyprus","2007","169.81829635925"
"Cyprus","2006","144.71433449875"
"Cyprus","2005","92.60439280661"
"Cyprus","2004","67.17961355949"
"Cyprus","2003","52.54081794487"
"Cyprus","2002","41.18802976448"
"Cyprus","2001","30.84772331695"
"Cyprus","2000","20.37717528271"
"Cyprus","1999","14.14401605844"
"Cyprus","1998","9.37855739723"
"Cyprus","1997","6.08703553517"
"Cyprus","1996","3.60691995597"
"Cyprus","1995","2.69892459923"
"Cyprus","1994","0.70303857236"
"Cyprus","1993","0.21710900486"
"Cyprus","1992","0.164247"
"Cyprus","1991","0.1555962"
"Cyprus","1990","0.1456139"
"Czech Republic","2014","2830.38224927792"
"Czech Republic","2013","2621.1821896344"
"Czech Republic","2012","2395.38699622093"
"Czech Republic","2011","2219.11092869221"
"Czech Republic","2010","1947.7064247891"
"Czech Republic","2009","1639.13372596876"
"Czech Republic","2008","1511.87089184687"
"Czech Republic","2007","1282.33513077746"
"Czech Republic","2006","937.230360912863"
"Czech Republic","2005","700.765201744863"
"Czech Republic","2004","602.46643926535"
"Czech Republic","2003","508.64054085078"
"Czech Republic","2002","400.578900547418"
"Czech Republic","2001","308.585319133388"
"Czech Republic","2000","203.987622542034"
"Czech Republic","1999","147.59900958417"
"Czech Republic","1998","134.151750705874"
"Czech Republic","1997","99.0166392294564"
"Czech Republic","1996","34.6754833845438"
"Czech Republic","1995","0.2285787288928"
"Denmark","2014","735.435645873786"
"Denmark","2013","810.64139475336"
"Denmark","2012","826.137278801188"
"Denmark","2011","908.385404005149"
"Denmark","2010","971.909492859225"
"Denmark","2009","964.773724709446"
"Denmark","2008","1014.58138911006"
"Denmark","2007","1010.20386173366"
"Denmark","2006","977.625547473618"
"Denmark","2005","951.905408550881"
"Denmark","2004","894.754884624938"
"Denmark","2003","829.370378747835"
"Denmark","2002","794.62392044561"
"Denmark","2001","747.113470149512"
"Denmark","2000","710.672209729079"
"Denmark","1999","587.206412021858"
"Denmark","1998","477.676722009867"
"Denmark","1997","377.532879697761"
"Denmark","1996","379.983752241704"
"Denmark","1995","241.484474914362"
"Denmark","1994","146.3576507112"
"Denmark","1993","102.28704"
"Denmark","1992","3.6896"
"Estonia","2014","216.522041055605"
"Estonia","2013","206.458396470789"
"Estonia","2012","193.034322112355"
"Estonia","2011","183.0029356155"
"Estonia","2010","175.432505308829"
"Estonia","2009","157.529599176477"
"Estonia","2008","150.394817419873"
"Estonia","2007","170.367740074701"
"Estonia","2006","154.56619902732"
"Estonia","2005","134.958268474771"
"Estonia","2004","119.327334223453"
"Estonia","2003","104.867951566727"
"Estonia","2002","98.8306106453945"
"Estonia","2001","97.1867162081839"
"Estonia","2000","79.1473138284342"
"Estonia","1999","63.394363404444"
"Estonia","1998","52.2518396218539"
"Estonia","1997","41.3138200581129"
"Estonia","1996","34.5582801517728"
"Estonia","1995","28.454399857753"
